restaurant_name,Number_of_Outlets,Average_Rating,Average_Votes
10 Downing Street,2,4.0,335.0
221 B Baker Street,3,3.37,71.67
34 Parkstreet Lane,2,3.05,15.5
"34, Chowringhee Lane",12,2.79,64.75
4700BC Popcorn,2,3.5,88.0
6 Pack Momos,2,1.4,4.0
A Piece of Paris,2,3.75,40.5
AB's - Absolute Barbecues,4,4.82,3350.0
AB's Absolute Barbecues,2,4.85,1575.5
Aap Ki Khatir,2,0.0,0.0
Aapki Rasoi,4,1.52,8.5
Adarsh Kulfi,2,1.5,5.0
Adyar Ananda Bhavan,2,3.15,203.5
Aggarwal Bikaner Sweets,3,1.0,3.33
Aggarwal Bikaneri Sweets,2,1.45,5.5
Aggarwal Sweet & Bakers,2,1.45,2.5
Aggarwal Sweet Centre,3,0.0,2.0
Aggarwal Sweet Corner,5,1.26,8.2
Aggarwal Sweet India,5,1.7,7.0
Aggarwal Sweets,14,0.79,2.79
Aggarwal Sweets & Restaurant,2,1.35,5.5
Aggarwal Sweets Centre,2,1.45,2.5
Aggarwal Sweets India,3,1.73,20.33
Aggarwal's Sweets Paradise,2,2.8,12.0
Al Bake,6,2.95,66.0
Al Zaika,2,1.45,4.5
Alaturka,2,2.95,151.0
All About Food,2,1.95,152.5
Amar Bakery,2,1.65,6.5
Americana Kitchen and Bar,2,2.6,163.0
Amici Cafe,3,3.7,632.0
Ammu's South Indian Restaurant,2,2.95,27.5
Amritsari Dhaba,2,3.05,14.0
Amul Ice-Cream Parlour,3,1.0,1.67
Anand Sweets,2,0.0,1.5
Angeethi,2,3.05,59.0
Angels in my Kitchen,8,3.41,155.12
Anjlika Pastry Shop,2,3.75,174.5
Ankur Family Restaurant,2,2.85,5.5
Anupam Sweets,2,2.55,14.5
Apni Rasoi,12,1.94,40.75
Applebee's,4,3.9,264.25
Arabian Delites,2,3.6,107.0
Arabian Nites,2,3.65,198.5
Ashok Meat Wala,2,3.55,73.0
Ashoka Restaurant,2,3.55,159.0
Asian Haus,2,4.0,523.0
